company_name,symbol,price,issued_quantity,market_cap,gics_type
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,29.00,9000000.00,261000000.00,Consumer Services
ACME PRINTING & PACKAGING PLC,ACME.N0000,5.90,41161913.00,242855286.70,Materials
GESTETNER OF CEYLON PLC,GEST.N0000,89.90,2657812.00,238937298.80,Commercial & Professional Services
TESS AGRO PLC,TESS.N0000,0.60,339797287.00,203878372.20,Food & Staples Retailing
SMB LEASING PLC,SEMB.X0000,0.30,614066101.00,184219830.30,Diversified Financials
MALWATTE VALLEY PLANTATIONS PLC,MAL.X0000,8.20,20250660.00,166055412.00,Food_ Beverage & Tobacco
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.80,206601782.00,165281425.60,Consumer Durables & Apparel
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,54.80,2844990.00,155905452.00,Transportation
RENUKA HOLDINGS PLC,RHL.X0000,11.90,12856830.00,152996277.00,Capital Goods
AGSTAR PLC,AGST.X0000,5.00,17473690.00,87368450.00,Materials
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.40,194633623.00,77853449.20,Consumer Durables & Apparel
YORK ARCADE HOLDINGS PLC,YORK.N0000,102.00,750000.00,76500000.00,Real Estate
RENUKA FOODS PLC,COCO.X0000,13.70,4773346.00,65394840.20,Food_ Beverage & Tobacco
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,22.10,2400000.00,53040000.00,Consumer Durables & Apparel
TESS AGRO PLC,TESS.X0000,0.60,50000000.00,30000000.00,Food & Staples Retailing
ADAM CAPITAL PLC,PCHH.N0000,0.00,252000242.00,0.00,Materials
ADAM INVESTMENTS PLC,AINV.N0000,0.00,898552400.00,0.00,Diversified Financials
CEYLON & FOREIGN TRADES PLC,CFT.N0000,0.00,140196000.00,0.00,Food & Staples Retailing
CEYLON PRINTERS PLC,CPRT.N0000,0.00,600170.00,0.00,Commercial & Professional Services
CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,0.00,13379850.00,0.00,Real Estate
HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0.00,1800000.00,0.00,Real Estate
LANKA CEMENT PLC,LCEM.N0000,0.00,173510748.00,0.00,Materials
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0.00,176028410.00,0.00,Food_ Beverage & Tobacco
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,0.00,24000000.00,0.00,Food_ Beverage & Tobacco
MTD WALKERS PLC,KAPI.N0000,0.00,167647568.00,0.00,Capital Goods
OFFICE EQUIPMENT PLC,OFEQ.N0000,0.00,833560.00,0.00,Capital Goods
PARAGON CEYLON PLC,PARA.N0000,0.00,1000280.00,0.00,Commercial & Professional Services
STANDARD CAPITAL PLC,SING.N0000,0.00,5540828.00,0.00,Real Estate
SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0.00,500000140.00,0.00,Diversified Financials
THE FINANCE COMPANY PLC,TFC.N0000,0.00,57966232.00,0.00,Diversified Financials
THE FINANCE COMPANY PLC,TFC.X0000,0.00,100000000.00,0.00,Diversified Financials
