company_name,symbol,price, issued_quantity ,market_cap,gics_type
SINHAPUTHRA FINANCE PLC,SFL.N0000,9.7," 62,958,930 ","610,701,621.00",Diversified Financials
HORANA PLANTATIONS PLC,HOPL.N0000,24.4," 25,000,000 ","610,000,000.00",Food_ Beverage & Tobacco
SMB LEASING PLC,SEMB.N0000,0.5," 1,191,766,772 ","595,883,386.00",Diversified Financials
LANKA CERAMIC PLC,CERA.N0000,99," 6,000,000 ","594,000,000.00",Capital Goods
KOTAGALA PLANTATIONS PLC,KOTA.N0000,7.8," 75,225,000 ","586,755,000.00",Food_ Beverage & Tobacco
KELSEY DEVELOPMENTS PLC,KDL.N0000,33," 17,429,274 ","575,166,042.00",Consumer Durables & Apparel
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,78.3," 6,843,044 ","535,810,345.20",Diversified Financials
SERENDIB LAND PLC,SLND.N0000,1450," 360,000 ","522,000,000.00",Real Estate
MARAWILA RESORTS PLC,2/29/00,2.1," 228,000,000 ","478,800,000.00",#N/A
HVA FOODS PLC,HVA.N0000,7.2," 66,428,660 ","478,286,352.00",Food_ Beverage & Tobacco
SAMSON INTERNATIONAL PLC,SIL.N0000,111," 4,232,771 ","469,837,581.00",Materials
ABANS ELECTRICALS PLC,ABAN.N0000,88," 5,110,560 ","449,729,280.00",Consumer Durables & Apparel
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4," 20,000,000 ","448,000,000.00",Diversified Financials
MACKWOODS ENERGY PLC,MEL.N0000,4.4," 100,000,000 ","440,000,000.00",Capital Goods
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,8," 53,728,000 ","429,824,000.00",Consumer Services
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,61.1," 6,910,041 ","422,203,505.10",Diversified Financials
LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,141.3," 2,937,245 ","415,032,718.50",Commercial & Professional Services
AMANA TAKAFUL LIFE PLC,ATLL.N0000,8.1," 50,000,000 ","405,000,000.00",Insurance
SERENDIB HOTELS PLC,SHOT.X0000,10.5," 36,011,056 ","378,116,088.00",Consumer Services
MULLER AND PHIPPS (CEYLON) PLC,MULL.N0000,1.3," 283,000,000 ","367,900,000.00",Health Care Equipment & Services
RAMBODA FALLS PLC,RFL.N0000,17.1," 20,000,000 ","342,000,000.00",Consumer Services
UNISYST ENGINEERING PLC,ALUF.N0000,14.7," 22,058,200 ","324,255,540.00",Capital Goods
BALANGODA PLANTATIONS PLC,BALA.N0000,13.5," 23,636,363 ","319,090,900.50",Food_ Beverage & Tobacco
LAUGFS POWER PLC,LPL.X0000,5.8," 52,000,000 ","301,600,000.00",Utilities
HOTEL SIGIRIYA PLC,HSIG.N0000,51," 5,859,000 ","298,809,000.00",Consumer Services
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,8.2," 32,383,250 ","265,542,650.00",Capital Goods
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,29," 9,000,000 ","261,000,000.00",Consumer Services
ACME PRINTING & PACKAGING PLC,ACME.N0000,5.9," 41,161,913 ","242,855,286.70",Materials
GESTETNER OF CEYLON PLC,GEST.N0000,89.9," 2,657,812 ","238,937,298.80",Commercial & Professional Services
TESS AGRO PLC,TESS.N0000,0.6," 339,797,287 ","203,878,372.20",Food & Staples Retailing
SMB LEASING PLC,SEMB.X0000,0.3," 614,066,101 ","184,219,830.30",Diversified Financials
MALWATTE VALLEY PLANTATIONS PLC,MAL.X0000,8.2," 20,250,660 ","166,055,412.00",Food_ Beverage & Tobacco
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,0.8," 206,601,782 ","165,281,425.60",Consumer Durables & Apparel
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,54.8," 2,844,990 ","155,905,452.00",Transportation
RENUKA HOLDINGS PLC,RHL.X0000,11.9," 12,856,830 ","152,996,277.00",Capital Goods
AGSTAR PLC,AGST.X0000,5," 17,473,690 ","87,368,450.00",Materials
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.4," 194,633,623 ","77,853,449.20",Consumer Durables & Apparel
YORK ARCADE HOLDINGS PLC,YORK.N0000,102," 750,000 ","76,500,000.00",Real Estate
RENUKA FOODS PLC,COCO.X0000,13.7," 4,773,346 ","65,394,840.20",Food_ Beverage & Tobacco
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,22.1," 2,400,000 ","53,040,000.00",Consumer Durables & Apparel
TESS AGRO PLC,TESS.X0000,0.6," 50,000,000 ","30,000,000.00",Food & Staples Retailing
ADAM CAPITAL PLC,PCHH.N0000,0," 252,000,242 ",0.00,Materials
ADAM INVESTMENTS PLC,AINV.N0000,0," 898,552,400 ",0.00,Diversified Financials
CEYLON & FOREIGN TRADES PLC,CFT.N0000,0," 140,196,000 ",0.00,Food & Staples Retailing
CEYLON PRINTERS PLC,CPRT.N0000,0," 600,170 ",0.00,Commercial & Professional Services
CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,0," 13,379,850 ",0.00,Real Estate
HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,0," 1,800,000 ",0.00,Real Estate
LANKA CEMENT PLC,LCEM.N0000,0," 173,510,748 ",0.00,Materials
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,0," 176,028,410 ",0.00,Food_ Beverage & Tobacco
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,0," 24,000,000 ",0.00,Food_ Beverage & Tobacco
MTD WALKERS PLC,KAPI.N0000,0," 167,647,568 ",0.00,Capital Goods
OFFICE EQUIPMENT PLC,OFEQ.N0000,0," 833,560 ",0.00,Capital Goods
PARAGON CEYLON PLC,PARA.N0000,0," 1,000,280 ",0.00,Commercial & Professional Services
STANDARD CAPITAL PLC,SING.N0000,0," 5,540,828 ",0.00,Real Estate
SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,0," 500,000,140 ",0.00,Diversified Financials
THE FINANCE COMPANY PLC,TFC.N0000,0," 57,966,232 ",0.00,Diversified Financials
THE FINANCE COMPANY PLC,TFC.X0000,0," 100,000,000 ",0.00,Diversified Financials
